Corporation name,Address,City,Province/territory,Postal code,Country,Sector or industry,Offense address,Offense city,Offense province/territory,Case summary,Charges,Enforcement notification text,Enforcement notification URL,Result,Date of conviction,Court level,Nature of offense(s),Additional details about the nature of the offense,Legislative details,Date of sentencing,Place of sentencing,Sentence(s),Amount of fine(s),Sentencing details
Snow White Laundry,58 Terrace Street,Sydney,Nova Scotia,B1V 3B3,Canada,812 - Personal and laundry services,58 Terrace Street,Sydney,Nova Scotia,"Wayne Cavanaugh was a foreman for Snow White Drycleaners (T Bear Cleaners LTD) a company in the dry cleaning business located in the city of Sydney Nova Scotia.On 12 December 2012 E/O Sanson conducted a CEPA compliance inspection of Snow White drycleaners and found that the secondary perc waste device was being bypassed by the foreman Wayne Cavanaugh and a home-made decanting system was being used in its stead. A verbal EPCO was issued to stop the release and to collect and contain the perc waste.On 14 December 2012 E/O Sanson conducted a follow up inspection and collected samples which were sent to an EC laboratory for analyses.On the 21 December 2012, Sanson received information from the laboratory that the samples contained tetrachloroethylene, a written EPCO was issued to the owner.","One count, on or between the 12th day of December, 2012 and the 14th day of December, 2012, at or near Sydney, cape Breton County, Nova Scotia did fail to store tetrachloroethylene, waste water and residue used for dry cleaning at all times in closed containers, contrary to s. 4 of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations SOR/2003-79, thereby committing an offence under s. 272 of the Canadian Environmental protection Act, 1999 C.33.",,,Guilty Plea,2014-10-21,Provincial and Territorial Court,Other,"Failed to store Tetrachloroethylene waste water and residue in closed containers, contrary to Section 4 of the Tetrachloroethylene Regulations, thereby committing an offence under s. 272 of the Canadian Environmental Protection Act.","Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.4, s.272",2014-10-21,"Sydney, Nova Scotia",Fine,"$5,050","On the 21 October, 2014, before the Provincial Court of Sydney, Nova scotia, the individual Wayne Cavanaugh has pleaded guilty of failing to store tetrachloroethylene, waste water, and residue used for dry cleaning at all times in closed containers, contrary to s. 4 of the Tetrachloroethylene (Use in Dry Cleaning and reporting Requirements) Regulations SOR/2003-79. Thereby committing on offence under s. 272 of the Canadian Environmental protection Act, 1999 and was sentenced to a fine of 5050.00."
Shooter’s Hill Livestock Inc,"5306 – 50 Street, Suite 100",Leduc,Alberta,T9E 6Z6,Canada,112 - Animal production and aquaculture,SW-13-50-27 W4 (geographic coordinates),Calmar,Alberta,"On May 11, 2014, Enforcement officers received a notification detailing the release of what appeared to be hog manure from a former hog farm to a creek near Calmar, AB. Officers conducted an inspection at the property, which they later determined was owned and operated by Shooters Hill Livestock Inc. The officers observed black liquid in a lagoon, a broken culvert, and black liquid covered in white foam flowing away from the culvert and entering a creek. The liquid obscured the natural state of the creek and turned the downstream portion black. The effluent smelled of manure. Manure contains substances such as ammonia, elevated pH, and organics which create oxygen demand, and is a substance deleterious to fish. Samples were collected to determine the chemical composition of the black liquid and to assess its toxicity to fish using multi-concentration rainbow trout acute lethality tests. The samples determined the effluent was lethal to fish even at the lowest concentration of 6.25%. Officers also observed black water further downstream and collected numerous dead fish from the creek.In the subsequent investigation, officers determined that Shooters Hill Livestock was transferring liquid hog manure from a lagoon it was emptying into what was formerly a clean water lagoon for holding purposes. The clean water lagoon had a rotating culvert installed, which collapsed while the transfer was unsupervised, causing liquid hog manure to flow from the lagoon down a draw into Winding Creek and subsequently into Conjuring Creek, which caused a fish kill. A provincial fisheries expert provided a report that concluded Conjuring Creek is very important to the fisheries in the North Saskatchewan River, the release was during spawning season, the chemistry analysis indicates it was toxic to fish, fry, and eggs, and that fisheries management actions were being taken to mitigate the expected reduction in fish populations from the affected 2014 spawning class.Charges were recommended against Shooters Hill Livestock Inc. and its sole director on July 30, 2015. One count of an alleged violation of subsection 36(3) of the Fisheries Act was laid against Shooters Hill Livestock Inc. and its sole director on August 7, 2015. The charge against the director was subsequently withdrawn as part of the plea agreement.","Count 1: That Shooter’s Hill Livestock Inc., on or between May 10 to May 12, 2014, at or near the Town of Calmar in the Province of Alberta, did deposit or permit the deposit of a deleterious substance of any type in water frequented by fish or in any place under any conditions where the deleterious substance or any other deleterious substance that results from the deposit of the deleterious substance may enter any such water in violation of subsection 36(3) of the Fisheries Act, R.S.C., 1985, c. F-14, as amended, and thereby did commit an offence under subsection 40(2) of the said Act.","Hog farm to pay $50,000 for manure release into creek",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/hog-farm-manure-release-creek.html,Guilty Plea,2015-11-25,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,,Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / 36(3),2015-11-25,"Leduc, Alberta",Penalty for the EDF,"$50,000","On the 25th of November, 2015, before the provincial Court of Alberta in Leduc, Alberta, the corporation Shooter’s Hill Livestock Inc pleaded guilty to the deposit of a deleterious substance contrary to subsection 36(3) of the Fisheries Act and was ordered to pay a total fine pursuant to s.40(2)(b(iii)(A) of the same Act. The fine was paid to the Environmental Damages Fund for the purposes of conservation and protection of fish and fish habitat. The Court considered the facts that:- The fish kill was serious and occurred during a critical spawning period, with likely far-reaching consequences to the river fisheries.- The deposit was not intentional, and the corporation cooperated fully with the investigation.- The corporation had no annual operating revenue; the remaining funds in the corporation were from the sale of capital assets and insurance funds"
Daljit Dhillon Enterprises Ltd. dba Save On Drycleaning Ltd.,7690 134 Street,Surrey,British Columbia,V3W 7T8,Canada,812 - Personal and laundry services,7690 134 Street,Surrey,British Columbia,"Save On Drycleaning is a dry cleaner located in Surrey. On 2012/06/19 Save On Drycleaning was inspected under the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations (regulations). The enforcement officer (EO) observed that tetrachloroethylene (PERC) was being used as a spotting agent contrary to section 3 of the regulations. The EO observed open containers of waste water that contained PERC contrary to section 4 of the regulations. The EO also saw containers of waste and waste water that contained PERC that were not within the required secondary containment. This was contrary to subparagraph 5(f)(i) of the regulations. The EO saw containers of PERC without the required secondary containment. This was contrary to subparagraph 5(f)(i) of the regulations.The EO was told that the 2011 Annual Report for Dry Cleaners had not been submitted by 2012/04/30. The document was later submitted on 2012/07/24. The EO requested to review copies of the Annual Report, receipts for tetrachloroethylene purchases and waste removal for the required five year period in the regulations. None of the documents were available. This was contrary to section 16 of the regulations. On 2012/07/18, the EO was informed and provided photographs that the drycleaner was no longer using PERC as a spotting agent, that two containers had secondary containment, and that waste water containing PERC were in closed containers.",4 counts. Count 1: section 3. Count 2: section 4. Count 3: subparagraph 5(f)(i). Count 4: section 16.,,,Guilty Plea,2014-05-29,Provincial and Territorial Court,Other,,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.4, ss. 5(f)(i), s.16 ",2014-05-29,"Surrey, BC",Fine,"$11,000","The 29, May, 2014, before the Provincial Court of Surrey, BC, the corporation Daljit Dhillon Enterprises Ltd has pleaded guilty of offense count 2, 3, and 4; and was sentenced to pay a fine of $11,000. The fine is to be paid $458 per month, over a two year period, commencing on 10, June, 2017."
Ruffneck Cleaners Ltd. ,4708 Empire Street,Macklin,Saskatchewan,S0L 2C0,Canada,453 - Miscellaneous store retailers,4708 Empire Street,Macklin,Saskatchewan,"December 14, 2011 – An EC Officer arrived at Ruffneck Cleaners Ltd. located at 4708 Empire St. in Macklin, SK to conduct an onsite inspection of the facility. During the inspection the officer noticed a very large barrel that was placed on the secondary containment tray. An employee stated that the barrel was being used to hold PERC waste water. The officer measured the barrel on the secondary containment tray and determined that the secondary containment tray was not capable of containing 110% of the largest container within the containment system.
January 27, 2012 – A search warrant was executed at RUFFNECK CLEANERS LTD located at 4708 Empire St in Macklin, SK by EC Officers to obtain evidence of the alleged offences identified at the December 14, 2011 inspection at the facility. Documents pertaining to PERC purchases, waste pick-ups and dry-cleaning were seized as well as a legal sample for analysis. The Report of Analysis from the EC lab determined that legal sample contained tetrachloroethylene.
August 20, 2012 – RUFFNECK CLEANERS LTD. owner James WIENKAUF appeared in Unity Provincial Court and pleaded guilty to one count each for him and his business for storing PERC waste water that was not in tetrachloroethylene-impermeable secondary containment capable of containing at least 110 % of the capacity of the largest tank or container within the containment system contrary to paragraph 5(f)(i) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations.","Ruffneck Cleaners Ltd and James Weinkauf were each charged with one count of violating paragraph 5(f)(i) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations. They were charged that they did on or about the 27th day of January, 2012 at Macklin in the province of Saskatchewan operate a dry cleaning machine using tetrachloroethylene in a dry cleaning facility which was not equipped with a tetrachloroethylene impermeable secondary containment system encompassing at least the entire surface under each dry-cleaning machine, tank or other container tetrachloroethylene, waste or residue and capable of containing at least 110% of the capacity of the largest tank or container within the containment system contrary to paragraph 5(f)(i) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations, thereby committing an offense contrary to section 272 of the Canadian Environmental Protection Act, 1999.",,,Guilty Plea,2012-08-20,Provincial and Territorial Court,Other,Failed to have compliant secondary containment,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.5(f)(i)",2012-08-20,"Unity, Saskatchewan",Fine|Penalty for the EDF,"$2,000","The 20, August, 2012, before the Provincial Court of Unity, Saskatchewan, the corporation Ruffneck Cleaners Ltd. has pleaded guilty of offense of paragraph 5(f)(i); and was sentenced to $1,000 and James Weinkauf has pleaded guilty of offense of paragraph 5(f)(i); and was sentenced to $1,000 towards the EDF"
3060479 Nova Scotia Limited (operating as Quality Cleaners Ltd),141 Stellarton Road,New Glasgow,Nova Scotia,B2H 5E5,Canada,812 - Personal and laundry services,141 Stellarton Road,New Glasgow,Nova Scotia,"3060479 Nova Scotia Limited (operating as Quality Cleaners Ltd) is located in New Glasgow, NS and is a dry cleaning facility.On August 27, 2015, Enforcement Officers conducted an on-site inspection and determined Mr. Bob Wong had not shipped his waste in seventeen months when the requirement is “every 12 months” and had an old double PERC-water separator that contained tetrachloroethylene waste water that was open at the top.","2 counts under s. 272 CEPA
3060479 Nova Scotia Limited, carrying on business as Quality Cleaners Limited, and John Robert Wong, also known as Bob Wong.Count 1: did, on or about August 27, 2015, at or near New Glasgow, Nova Scotia, fail to store tetrachloroethylene waste water used for dry cleaning at all times in closed containers, contrary to s. 4 of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations, SOR/2003-79, thereby committing an offence under s. 272 of the Canadian Environmental Protection Act, 1999, S.C. 1999, c. 33.Count 2: And further at the same time and place aforesaid did fail to have all residue transported to a waste management facility at least once in twelve months, contrary to ss. 9(1) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations, SOR/2003-79, thereby committing an offence under s. 272 of the Canadian Environmental Protection Act, 1999, S.C. 1999, c. 33.",,,Guilty Plea,2016-10-06,Provincial and Territorial Court,Other,Failed to have all residue transported to a waste management facility at least once in twelve months.,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.9(1)",2016-10-06,"Pictou, Nova Scotia",Penalty for the EDF,"$5,000","On October 6, 2016, before the Provincial Court of Pictou, NS, the corporation Quality Cleaners Limited has pleaded guilty to failing to transport all residue to a waste management facility at least once in twelve months.Two prior warning letters under Tetrachloroethylene Regulations. $5,000 paid to EDF"
Prairie Mines & Royalty ULC,"1100, 10123-99 Street",Edmonton,Alberta,T5J 3H1,Canada,212 - Mining and quarrying (except oil and gas),Obed Mountain Mine,15km East of Hinton,Alberta,"The Obed Mountain Mine is an open pit coal mine located about 15km northeast of the Town of Hinton, Alberta. Coal Valley Resources Inc. owned and operated the mine starting in 2006. In January 2016, Coal Valley Resources Inc. was amalgamated with Prairie Mines & Royalty ULC.
On October 31, 2013, a dyke on the mine’s wastewater containment pond failed, resulting in the release of 670 million litres of water and 90, 000 tonnes of sediment into Apetowun Creek.
Apetowun Creek is a small watercourse which flows for approximately 22km before entering another watercourse called Plant Creek. From there, Plante Creek flows 6 km before entering the Athabasca River.
At the time of the release, Apetowun Creek was known to contain rainbow trout, burbot, mountain whitefish and spoonhead sculpin. Plante Creek contained these fish species as well as arctic grayling. Downstream of Plante Creek, the Athabasca River contains the same fish species, as well as bull trout, longnose dace, longnose sucker, northern pike, pearl dace and white sucker.
Athabasca rainbow trout are listed as endangered by the federal Committee of the Status of Endangered Wildlife in Canada and as threatened by Alberta’s Endangered Species Conservation Committee. Prior to the release, Apetowun Creek was a known spawning area for rainbow trout. These rainbow trout were believed to be Athabasca rainbow trout by Alberta Environment, but this was not confirmed until DNA sampling subsequent to the release.","Count 1On or between October 31, 2013 and November 1, 2013, at or near Hinton, in the Province of Alberta, Prairie Mines & Royalty ULC (formerly known as Coal Valley Resources Inc.) did deposit or permit the deposit of a deleterious substance of any type in water frequented by fish or in any place under any conditions where the deleterious substance or any other deleterious substance that results from the deposit of the deleterious substance may enter any such water, in violation of subsection 36(3) of the Fisheries Act, R.S., 1985, c. F-14, s. 36; 2012, c. 19. S. 143 as amended, and thereby commit an offence under subsection 40(2) of said Act.
Count 2 That on or between October 31, 2013 and November 1, 2013, at or near Hinton, in the Province of Alberta, Prairie Mines & Royalty ULC (formerly known as Coal Valley Resources Inc.), did carry on a work, undertaking or activity that resulted in the harmful alteration or disruption, or to the destruction, of fish habitat, in violation of subsection 35(1) of the Fisheries Act, R.S., 1985, c. F-14, s. 35; 2012, c. 19. S. 142 as amended, and thereby commit an offence under subsection 40(1) of said Act.","Company sentenced to pay $3,500,000 for Obed Mountain mine spill",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/company-sentenced-obed-mountain-spill.html,Guilty Plea,2017-06-09,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,,"Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act /  / s.35(1), s.36(3)",2017-06-09,"Hinton, Alberta","Fine|Other penalty (provincial, charity, etc)|Penalty for the EDF","$4,115,175","On the 9th of June, 2017, before the Provincial Court of Alberta at Hinton, Alberta, Prairie Mines & Royalty ULC (formerly known as Coal Valley Resources Inc.) pleaded guilty to violating section 36(3) and 35(1) of the Fisheries Act and was sentenced to a total monetary penalty of $3,500,000 plus $615,175 for certain costs, of which:
· Count 1, s.36(3) Fisheries Act: $100,000 paid as a fine pursuant to s. 40(2) of the Fisheries Act; $1,650,000 paid pursuant to s. 79.2(f) of the Fisheries Act to the EDF.
· Count 2, s. 35(1) Fisheries Act: $100,000 paid as fine pursuant to s. 40(1) of the Fisheries Act; $500,000 paid pursuant to s. 79.2(f) of the Fisheries Act to the EDF; $1,150,000 paid pursuant to s. 79.2(i) of the Fisheries Act, into a trust account at the University of Alberta for the sole purpose of creating the Alberta East Slopes Fish Habitat and Native Fish Recovery Research Fund; $615,175 paid pursuant to s. 79.2(d) to DFO as compensation for costs in retaining fluvial geomorphology experts related to the rehabilitation of Apetowun Creek.
It should be noted that an additional count under the Alberta Environmental Protection and Enhancement Act was also part of the sentencing as follows:
· Count 1 s.109(2): $192,000 fine and $28,810 victim fine surcharge; creative sentencing projects including $363,000 for a university research project on dam safety and $370,000 for an aboriginal and indigenous youth education program relating to environmental issues.
In this case, the sentence was recommended by joint submission as presented by both the crown and defense counsels and the court accepted the submission as proposed."
Prairie Distributors (B.C.) Inc.,160-6651 Elmbridge Way,Richmond,British Columbia,V7C 5C2,Canada,418 - Miscellaneous merchant wholesalers,160-6651 Elmbridge Way,Richmond,British Columbia,"Prairie Distributors (B.C.) Inc. (PDI) provides service and products for use in the dry-cleaning industry, including dry-cleaning and laundry supplies, chemicals and machinery. The company is based in Richmond, BC, and conducts most of its business in the Lower Mainland.
Environment Canada conducted 48 inspections of dry-cleaning facilities in BC between 2012/06/18 and 2012/08/28. Of the 48 facilities, 11 of them had at least one container of PERC, waste water or residue without adequate secondary containment, and it was found that PDI had sold tetrachloroethylene (PERC) to each of these facilities.
Upon further investigation, it was determined that PDI sold PERC to nine dry cleaners that did not have an adequate secondary containment system for at least one container of waste water or residue.","10 counts, all under section 5(f)(i).",,,Guilty Plea,2015-04-17,Provincial and Territorial Court,Allowed the deposit of a deleterious substance|Other,"Selling tetrachloroethylene to an owner or operator of a dry-cleaning machine that does have 110% secondary containment of the largest tank or container containing tetrachloroethylene, waste water or residue.","Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.5(f)(i)",2015-05-04,"Richmond, British Columbia",Fine,"$62,500","The 17 April 2015, before the Provincial Court of Richmond, BC, the corporation Prairie Distributors (B.C.) Inc. has pleaded guilty of offense counts 1, 2, 5 and 6; and on 04, May, 2015, was sentenced to pay a fine of $62,500 to the Receiver General of Canada.
The mitigating factors that the Court considered to establish the sentence were:
·An early guilty plea was entered.
·This was the first enforcement action against Prairie Distributors (B.C.) Inc.
·The company will no longer be engaged in selling tetrachloroethylene.
The aggravating factors that the Court considered to establish the sentence were:
·The risk of damage to the environment, as well as the toxicity of PERC.
·The offender committed the offence recklessly.
·Failure to take reasonable steps to prevent the commission of the offence. despite having the financial means to do so.
· The offender had a history of non-compliance."
610969 Saskatchewan Ltd. dba Executive Cleaners,"1505 - 8 Street Est, #10",Saskatoon,Saskatchewan,S7H 0T2,Canada,453 - Miscellaneous store retailers,"1505 - 8 Street Est, #10",Saskatoon,Saskatchewan,"On 12 April 2012 officers conducted an onsite inspection at Executive Cleaners located at 1505 8 St E #10, Saskatoon, SK. Officers observed that waste water and residue were not stored in closed containers, they did not have tetrachloroethylene-resistant drain plugs that were readily available, waste water was not stored in secondary containment and that the owner admitted to dumping waste water down the drain at least twice.
On May 23, 2012 a search warrant was conducted and officers observed the same violations being continued, which were that waste water and residue was not stored in a closed container, they did not have tetrachloroethylene-resistant drain plugs that were readily available, waste water was not stored in secondary containment and that the owner admitted to dumping waste water down the drain at least twice. Officers seized multiple documents and 6 Legal samples during the execution of the search warrant. The Report of Analysis from the EC lab for the 6 samples submitted for analysis determined that all 6 of the legal samples seized contained tetrachloroethylene.On November 13, 2013 Defense counsel entered guilty pleas in Saskatoon Provincial Court on behalf of Donald Pattison and 610969 Saskatchewan LtdOn November 13, 2013 Defense counsel entered guilty pleas in Saskatoon Provincial Court on behalf of Donald Pattison and 610969 Saskatchewan Ltd.","610969 Saskatchewan Ltd. and Donald L. Pattison were each charged for violating section 8 of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations. Donald L. Pattison was charged for violating section 4, paragraph 5(f)(i), and paragraph 5(f)(ii) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations.
The charges for each of the 2 accused were worded as follows…
On or between the 1st day of June 2011 and the 31st day of December 2011 at or near Saskatoon, Saskatchewan, did unlawfully dump waste water into a floor drain thereby failing to meet an obligation as an owner or operator of a dry cleaning machine, to wit, have waste water transported to a waste management facility of have waste water treated by the dry-cleaning machine’s or the carbon adsorber’s integral tetrachloroethylene- water separator and an on-site waste water treatment system contrary to section 8 of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations thereby committing an offence contrary to section 272 of the Canadian Environmental Protection Act, 1999.
The charges against Donald Pattison were worded as follows…
Between the 12th day of April 2012 and the 23rd day of May 2012 at or near Saskatoon, Saskatchewan, did unlawfully use tetrachloroethylene for dry cleaning while waste water and residue were not stored in closed containers when access was not required for operation or maintenance contrary to section 4 of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations thereby committing an offence contrary to section 272 of the Canadian Environmental Protection Act, 1999.
Between the 12th day of April 2012 and the 23rd day of May 2012 at or near Saskatoon, Saskatchewan, did unlawfully use tetrachloroethylene for dry cleaning while the dry cleaning machine was operated within a dry cleaning facility that was not equipped with a tetrachloroethylene-impermeable secondary containment system encompassing at least the entire surface under each container containing tetrachloroethylene, waste water or residue contrary to paragraph 5(f)(i) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations thereby committing an offence contrary to section 272 of the Canadian Environmental Protection Act, 1999.
Between the 12th day of April 2012 and the 23rd day of May 2012 at or near Saskatoon, Saskatchewan, did unlawfully use tetrachloroethylene for dry cleaning while the dry cleaning machine was operated within a dry cleaning facility that was not equipped with tetrachloroethylene-resistant drain plugs that are readily available to seal all floor drains into which tetrachloroethylene, waste water or residue may flow in the event of a spill contrary to paragraph 5(f)(ii) of the Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations thereby committing an offence contrary to section 272 of the Canadian Environmental Protection Act, 1999.",,,Guilty Plea,2013-11-19,Provincial and Territorial Court,Other,,"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.4, s.5(f)(i), s.8",2013-11-19,"Saskatoon, Saskatchewan",Penalty for the EDF,"$16,500","19 November 2013, before the Provincial Court of Saskatoon, Saskatchewan, the corporation 610969 Saskatchewan Ltd. has pleaded guilty to violating section 8; and was sentenced to $4,200. Donald L Pattison has pleaded guilty to violating section 8 and was sentenced to $4,200 and pleaded guilty to violating section 4 and was sentenced to $3,000 and pleaded guilty to violating paragraph 5(f)(i) and was sentenced to $2,100 and pleaded guilty to violating paragraph 5(f)(ii) and was sentenced to $3,000 for a total of $16,500 which will be directed to the EDF"
Catalyst Paper Corporation,"2nd Floor, 3600 Lysander Lane",Richmond,British Columbia,V7B 1C3,Canada,322 - Paper manufacturing,"Powell River Mill, 5775 Ash Avenue",Powell River,British Columbia,"On September 4, 2012 during a power outage where some equipment mis-operated and other equipment was known to be broken. 3,500,000 litres of untreated mill effluent was released into the Malaspina Strait, which is part of the Pacific Ocean. The mill failed to collect samples at the two outfalls that it knew were discharging.
On September 18, 2012 when power was lost to a substation due to a line trip. The substation released 100,000 litres of untreated effluent into the Malaspina Strait, due to a piece of equipment that was known to be broken. The mill failed to collect a sample from the outfall that was discharging.
The deposit of effluent occurred on September 14, 2014 during a power loss. 252,000 litres of primary treated effluent mixed with secondary treated effluent was released to the Malaspina Strait. The release consisted of 34,000 litres of primary effluent and 218,000 litres of secondary effluent.
Catalyst paper failed to collect a grab sample as soon as possible from the outfall to which the deposit occurred and failed to subject the samples to the required tests.","For the September 4th release the counts consist of:
-5 counts for violating Subsection 36(3) of the Fisheries Act (deposit of deleterious substance)- 2 counts for violating Paragraph 32(3)(a) of the Pulp and Paper Effluent Regulations (Failing to collect a grab sample).- 2 counts for violating Subparagraph 32(3)(a)(i) of the Pulp and Paper Effluent Regulations (Failing to subject sample to Reference Method EPS 1/RM/13 for Rainbow trout.-2 counts for violating Subparagraph 32(3)(a)(ii) of the Pulp and Paper Effluent Regulations (Failing to subject sample to Reference Method EPS 1/RM/14 for Daphnia.-2 counts for violating Subsection 120(7) of the Environmental Management Act. (Fail to comply with permit.)
For the September 18th release the counts consist of:
-2 counts for violating Subsection 36(3) of the Fisheries Act (deposit of deleterious substance)- 1 count for violating Paragraph 32(3)(a) of the Pulp and Paper Effluent Regulations (Failing to collect a grab sample).- 1 count for violating Subparagraph 32(3)(a)(i) of the Pulp and Paper Effluent Regulations (Failing to subject sample to Reference Method EPS 1/RM/13 for Rainbow trout.- 1 count for violating Subparagraph 32(3)(a)(ii) of the Pulp and Paper Effluent Regulations (Failing to subject sample to Reference Method EPS 1/RM/14 for Daphnia.","Catalyst Paper fined $200,000 for deposit of untreated pulp and paper effluent",https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/catalyst-paper-deposit-untreated-effluent.html,Guilty Plea,2015-12-08,Provincial and Territorial Court,Allowed the deposit of a deleterious substance,,"Pollution Prevention provisions (subsection 36(3)) of the Fisheries Act / Pulp and Paper Effluent Regulations / s.36(3), s.32(3)",2015-12-08,"Powell River, British Columbia",Fine|Penalty for the EDF,"$200,000","Catalyst Paper, operating in Powell River, was fined $200,000 in British Columbia Provincial Court on December 8, 2015, after pleading guilty to offences under the Fisheries Act related to the deposit of a deleterious substance into water frequented by fish.
The offences stem from two releases of untreated pulp and paper effluent. On September 4, 2012, 3,500,000 litres of effluent were released into the Malaspina Strait, located near the City of Powell River. Another release of 100,000 litres occurred on September 18, 2012. The investigation determined that the first release was due to a power loss and the second was due, in part, to a broken check valve.
In addition, on September 14, 2014, Catalyst Paper failed to collect samples from a deposit that contained deleterious substances above limits authorized under the Pulp and Paper Effluent Regulations, which is also in contravention of the Fisheries Act.
November 20th, 2015 Catalyst agreed to plead jointly to the files:
Counts 1 and 14 as listed below (deposit a deleterious substance);
Count 11 listed below (Fail to collect a sample).
Count 1 On or about the 4th day of September, 2012, at or near 5775 Ash Avenue, at or near the City of Powell River, in the Province of British Columbia, did unlawfully deposit or permit the deposit of a deleterious substance, to wit: mill effluent, into water frequented by fish, to wit: Malaspina Strait, contrary to section 36(3) of the Fisheries Act and did thereby commit an offence in violation, of section 40(2) of the Fisheries Act.
Count 11 On or about the 14th day of September, 2014, at or near 5775 Ash Ave, at or near the City of Powell River, in the Province of British Columbia, being an operator of a mill, did unlawfully fail as soon as possible in the circumstances to collect a grab sample from the outfall structure through which a deposit out of normal course of events occurred, to wit: Outfall #1, contrary to 32(3)(a) of the Pulp and Paper Effluent Regulations and did thereby commit an offence in violation of section 40(3)(a) of the Fisheries Act.
Count 14 On or about the 18th day of September, 2012, at or near 5775 Ash Avenue, at or near the City of Powell River, in the Province of British Columbia, did unlawfully deposit or permit the deposit of a deleterious substance, to wit: mill effluent, into water frequented by fish, to wit: Malaspina Strait, contrary to section 36(3) of the Fisheries Act and did thereby commit an offence in violation of section 40(2) of the Fisheries Act. Of the $200,000 fine, $185,000 will be directed to the Environmental Damages Fund (EDF). The remaining $15,000 fine ($5,000 per count) will be directed to General Revenue"
MP Moore Cleaners dba Care-A-lot Cleaners Ltd ,5712A Teredo Street,Sechelt,British Columbia,V0N 3A0,Canada,812 - Personal and laundry services,5712A Teredo Street,Sechelt,British Columbia,Not available,"CEPA 1999 - CANADIAN ENVIRONMENTAL PROTECTION ACT, 1999
Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) RegulationsEPCO issued June 30, 2010 for violations of section 4, paragraphs 5(f)(i) and 8(1)(a), subsections 8(2), 9(1), 9(2), 14(a), and 14(b), and section 16.",,,Guilty Plea,2013-03-27,Provincial and Territorial Court,Failed to submit a report,Count 1 - Failure to store waste residue in secondary containment 5(f)(i)Count 5 - Failure to submit annual report for calendar year 2010 14(b),"Canadian Environmental Protection Act, 1999 (CEPA) / Tetrachloroethylene (Use in Dry Cleaning and Reporting Requirements) Regulations / s.5(f)(i), s.14(b)",2013-03-27,"Sechelt, BC",Fine,"$5,500","On March 27, 2013, the Michael MOORE pleaded guilty to:
Count 1 -Failure to store waste residue in secondary containment 5(f)(i)
Count 5 -Failure to submit annual report for calendar year 2010 14(b)
In a joint submission to the Honourable Judge Merrick, MOORE was sentenced to:
Count 1 - $4000
Count 5 - $1500"
